task,hidden,seed,canonical,structural,k,pi_error,a,b,rel_ab,R_hat,test_metric,dense_val,final_val,dense_n,final_n,dense_e,final_e,pass_e,runtime_s,reason
area,8,1,1,1,3.1416381953755,1.44964006234587E-05,0,0,0,0,17.7697754245335,6.26755648047846E-05,3.61940497829378E-09,10,3,45,2,1,0.156823,canonical A = b + k r^2
area,8,2,1,1,3.14161765615963,7.95856516030388E-06,0,0,0,0,22.0031974806894,1.73676635395094E-05,3.29298808392964E-09,10,3,45,2,0,0.0896084,canonical A = b + k r^2
area,8,3,1,1,3.14161779820321,8.00377903580705E-06,0,0,0,0,21.5443306362405,2.84846329233995E-05,3.54695869293982E-09,10,3,45,2,1,0.1065966,canonical A = b + k r^2
area,8,4,1,1,3.14165096404519,1.85607944217524E-05,0,0,0,0,20.6592879984641,1.04434085278485E-06,3.22175486181529E-09,10,3,45,2,1,0.1877438,canonical A = b + k r^2
area,8,5,1,1,3.14164433504776,1.64507190034192E-05,0,0,0,0,17.9852344955585,1.59952249638955E-05,3.135922209112E-09,10,3,45,2,1,0.1466998,canonical A = b + k r^2
area,8,6,1,1,3.14166870125956,2.42067251065881E-05,0,0,0,0,23.4359393890324,3.06549335976641E-05,2.90435456590038E-09,10,3,45,2,1,0.1308258,canonical A = b + k r^2
area,8,7,1,1,3.14165026328409,1.83377352351217E-05,0,0,0,0,17.261487532142,1.50226864899884E-05,4.33426759887961E-09,10,3,45,2,1,0.2178002,canonical A = b + k r^2
area,8,8,1,1,3.14163352141319,1.30086322142075E-05,0,0,0,0,17.7918699568471,8.24231063712422E-07,3.79127471078292E-09,10,3,45,2,1,0.3442909,canonical A = b + k r^2
area,8,9,1,1,3.14164948481253,1.80899400411452E-05,0,0,0,0,16.9121957469782,7.94250836243595E-05,2.31869988842907E-09,10,3,45,2,1,0.1549625,canonical A = b + k r^2
area,8,10,1,1,3.1416461361056,1.70240135205334E-05,0,0,0,0,23.4259726023255,8.66311275682119E-05,2.3636332639816E-09,10,3,45,2,1,0.2155393,canonical A = b + k r^2
